fro-l	0	99	8
fro-l	100	199	12
fro-l	200	299	24
fro-l	300	399	4
fro-l	400	499	2
fro-l	500	599	12
fro-l	600	699	31
fro-l	700	799	31
fro-l	800	899	31
fro-l	900	999	31
fro-l	1000	1099	31
fro-l	1100	1199	20
fro-l	1200	1299	45
fro-l	1300	1399	49
fro-l	1400	1499	47
fro-l	1500	1599	10
fro-l	1600	1699	9
fro-l	1700	1799	15
fro-l	1800	1899	14
fro-l	1900	1999	22
fro-l	2000	2099	23
ins-l	0	99	36
ins-l	100	199	21
ins-l	200	299	34
ins-l	300	399	49
ins-l	400	499	38
ins-l	500	599	41
ins-l	600	699	8
ins-l	700	799	1
lim-l	0	99	3
lim-l	100	199	31
lim-l	200	299	13
lim-l	300	399	32
lim-l	400	499	43
lim-l	500	599	29
lim-l	600	699	27
lim-l	700	799	29
tem-l	0	99	25
tem-l	100	199	26
tem-l	200	299	47
tem-l	300	399	46
tem-l	400	499	44
tem-l	500	599	19
tem-l	600	699	37
tem-l	700	799	17
tem-l	800	899	3
tem-l	900	999	31
tem-l	1000	1099	14
par-l	0	99	15
par-l	100	199	44
par-l	200	299	25
par-l	300	399	24
par-l	400	499	48
par-l	500	599	11
par-l	600	699	9
par-l	700	799	39
par-l	800	899	8
par-l	900	999	22
par-l	1000	1099	22
occ-l	0	99	36
occ-l	100	199	36
occ-l	200	299	35
occ-l	300	399	48
occ-l	400	499	13
occ-l	500	599	49
occ-l	600	699	23
occ-l	700	799	0
occ-l	800	899	2
occ-l	900	999	45
occ-l	1000	1099	5
occ-l	1100	1199	32
occ-l	1200	1299	31
occ-l	1300	1399	25
occ-l	1400	1499	29
sbc-l	0	99	43
sbc-l	100	199	12
sbc-l	200	299	19
sbc-l	300	399	4
sbc-l	400	499	42
sbc-l	500	599	12
sbc-l	600	699	31
ceb-l	0	99	31
bst	0	99	31
fro-r	0	99	31
fro-r	100	199	33
fro-r	200	299	17
fro-r	300	399	45
fro-r	400	499	47
fro-r	500	599	47
fro-r	600	699	10
fro-r	700	799	9
fro-r	800	899	14
fro-r	900	999	14
fro-r	1000	1099	22
fro-r	1100	1199	23
fro-r	1200	1299	36
fro-r	1300	1399	21
fro-r	1400	1499	34
fro-r	1500	1599	49
fro-r	1600	1699	38
fro-r	1700	1799	40
fro-r	1800	1899	8
fro-r	1900	1999	1
fro-r	2000	2099	3
ins-r	0	99	31
ins-r	100	199	13
ins-r	200	299	32
ins-r	300	399	15
ins-r	400	499	29
ins-r	500	599	27
ins-r	600	699	43
ins-r	700	799	25
lim-r	0	99	26
lim-r	100	199	47
lim-r	200	299	46
lim-r	300	399	41
lim-r	400	499	16
lim-r	500	599	37
lim-r	600	699	17
lim-r	700	799	1
tem-r	0	99	4
tem-r	100	199	49
tem-r	200	299	15
tem-r	300	399	44
tem-r	400	499	25
tem-r	500	599	21
tem-r	600	699	48
tem-r	700	799	11
tem-r	800	899	7
tem-r	900	999	40
tem-r	1000	1099	8
par-r	0	99	19
par-r	100	199	22
par-r	200	299	22
par-r	300	399	36
par-r	400	499	34
par-r	500	599	48
par-r	600	699	13
par-r	700	799	49
par-r	800	899	23
par-r	900	999	0
par-r	1000	1099	2
occ-r	0	99	45
occ-r	100	199	5
occ-r	200	299	12
occ-r	300	399	31
occ-r	400	499	25
occ-r	500	599	29
